vorname,anzahl,geschlecht
Gergely,1,m
Henrika,1,w
German,1,m
Hera,1,w
Gero,1,m
Hiba,1,w
Gerrit,1,m
Hien,1,w
Ghani,1,m
Hilal,1,w
Gheorghe,1,m
Hilda,1,w
Giacomo,1,m
Hindrika,1,w
Gian,1,m
Hiranur,1,w
Giovanni,1,m
Hjördis,1,w
Giuliano,1,m
Holly,1,w
Giulio,1,m
Hong,1,w
Goranov,1,m
Hélène,1,w
Gregory,1,m
Hümeyra,1,w
Guido,1,m
Hồ,1,w
Guillaume,1,m
İkranur,1,w
Gyunalov,1,m
Ilay,1,w
Gökhan,1,m
Ilina,1,w
Görkem,1,m
Ilinichna,1,w
Hagen,1,m
Ilka,1,w
Hakan,1,m
Imke,1,w
Haki,1,m
Ina,1,w
Hakon,1,m
Inara,1,w
Halil,1,m
Inci,1,w
Hamadi,1,m
Inge,1,w
Han,1,m
Ingrid,1,w
Hannibal,1,m
Iolanda,1,w
Harry,1,m
Ira,1,w
Haruto,1,m
Iren,1,w
Hasan-Umut,1,m
Irena,1,w
Hauke,1,m
Irfana,1,w
Haçı,1,m
Iris,1,w
Heiko,1,m
Isabela,1,w
Helmut,1,m
Isla,1,w
Hendryk,1,m
Islamovna,1,w
Henryk,1,m
Isoken,1,w
Hieu,1,m
Israa,1,w
Hira,1,m
Iva,1,w
Hiro,1,m
Ivanka,1,w
Ho,1,m
Ivelinova,1,w
Holger,1,m
Ivi,1,w
Hoàng,1,m
Iwa,1,w
Hridayh,1,m
Ixchel,1,w
Hubertus,1,m
Jacqueline,1,w
Hussain,1,m
Jade,1,w
Hussein,1,m
Jadranka,1,w
Huu,1,m
Jaliyah,1,w
Huzayer,1,m
Jamie,1,w
Hyusein,1,m
Janice,1,w
Hüdayi,1,m
Janka,1,w
Hüseyin,1,m
Janne,1,w
Hải,1,m
Jara,1,w
Ibrahim,1,m
Jaroslava,1,w
Icaros,1,m
Jasna,1,w
Ido,1,m
Jean,1,w
Ifra,1,m
Jeanette,1,w
Igor,1,m
Jeanne,1,w
Ilios,1,m
Jelena,1,w
Iloy,1,m
Jenna,1,w
Ilyes,1,m
Jennyfer,1,w
Imad,1,m
Jette,1,w
Imeddin,1,m
Jiline-Summer,1,w
Immanuel,1,m
Jocelyne,1,w
Ingo,1,m
Jolanda,1,w
Ingvar,1,m
Jolene,1,w
Ionut,1,m
Joli,1,w
Isaac,1,m
Jolie,1,w
Iseyare,1,m
Jolin,1,w
Islam,1,m
Jolin-Aalijah,1,w
Ivar,1,m
Jolin-Geraldin,1,w
Iwan,1,m
Joline,1,w
Jabari,1,m
Jonathea,1,w
Jackson,1,m
Jonna,1,w
Jacobus,1,m
Jonnah,1,w
Jacopo,1,m
Jorinde,1,w
Jakub,1,m
Jorunn,1,w
Jamilloux,1,m
Josefin,1,w
Jamiro,1,m
Jotti,1,w
Janek,1,m
Jsminka,1,w
Janko,1,m
Juana,1,w
Jann,1,m
Jule,1,w
Janne,1,m
Julie-Ann,1,w
Jannes,1,m
Justine,1,w
Jano,1,m
Juya,1,w
Janoš,1,m
Jülie,1,w
Japer,1,m
Kaddi,1,w
Jaques,1,m
Kadijat,1,w
Jared,1,m
Kadije,1,w
Jari,1,m
Kailani,1,w
Jarik,1,m
Kaja,1,w
Jaris,1,m
Kalotta,1,w
Jaro-Pollux,1,m
Kamelya,1,w
Jascha,1,m
Kami,1,w
Jay,1,m
Kancho,1,w
Jeason,1,m
Karin,1,w
Jeffrey,1,m
Karis,1,w
Jelle,1,m
Karolina,1,w
Jendrik,1,m
Karolinne,1,w
Jermaine,1,m
Kate,1,w
Jerome,1,m
Katherine,1,w
Jesko,1,m
Katia,1,w
Jethro,1,m
Katinka,1,w
Joel-Maxime,1,m
Katja,1,w
Joey,1,m
Kaya,1,w
Johannesen,1,m
Kerstin,1,w
John-David,1,m
Kevser,1,w
John-Luis,1,m
Khandro,1,w
Johny,1,m
Khanh,1,w
Jon,1,m
Kianda,1,w
Jonne,1,m
Kimberley,1,w
Jonut,1,m
Kimberly,1,w
Joona,1,m
Kimora,1,w
Joris,1,m
Kindness,1,w
Joscha,1,m
Kiona,1,w
Josha,1,m
Klaudia,1,w
Jovan,1,m
Konstantinovna,1,w
Jovi,1,m
Kostiantynivna,1,w
Jozwicki,1,m
Kristin,1,w
Joél,1,m
Kuguar,1,w
Joël,1,m
Kyra,1,w
Jude,1,m
Lahela,1,w
Jules,1,m
Laian,1,w
Juliano,1,m
Lamia,1,w
Julias,1,m
Lamielle,1,w
Julio,1,m
Lamies,1,w
Junior,1,m
Lanah,1,w
Junus,1,m
Laney,1,w
Jupiter,1,m
Lara-Isabel,1,w
Jurek,1,m
Laresa,1,w
Juro,1,m
Larisa,1,w
Justin,1,m
Lativa,1,w
Juul,1,m
Lauryn,1,w
Kaipo,1,m
Layali,1,w
Kaito,1,m
Layla,1,w
Kajus,1,m
Le,1,w
Kalle,1,m
Lea-Jolie,1,w
Kaloko,1,m
Lea-Sophie,1,w
Kanata,1,m
Leah,1,w
Karam,1,m
Leana,1,w
Karim,1,m
Leandra,1,w
Karlo,1,m
Lediona,1,w
Karsten,1,m
Lee,1,w
Kasem,1,m
Leevke,1,w
Kasimir,1,m
Lei,1,w
Kassem,1,m
Leila,1,w
Kauãn,1,m
Lejana,1,w
Kawin,1,m
Lejla,1,w
Kaya,1,m
Lene,1,w
Kayenne,1,m
Lentje,1,w
Kayra,1,m
Leonia,1,w
Kekil,1,m
Leontina,1,w
Kemal,1,m
Leticia,1,w
Kenai,1,m
Levia,1,w
Kenan,1,m
Levke,1,w
Kenzo,1,m
Lexy,1,w
Khair,1,m
Li,1,w
Khang,1,m
Li-Ying,1,w
Khôi,1,m
Liana,1,w
Kian,1,m
Lidija,1,w
Kichkov,1,m
Liesbeth,1,w
Kiril,1,m
Liese,1,w
Kirima,1,m
Liese-Lotte,1,w
Kıvanç,1,m
Liesel,1,w
Klaus,1,m
Lieselotte,1,w
Kobim,1,m
Ligaya,1,w
Kofi,1,m
Lilah,1,w
Kolja,1,m
Lili,1,w
Konsta,1,m
Lilia,1,w
Konstantinovič,1,m
Lilja,1,w
Krabat,1,m
Lillian,1,w
Kristian,1,m
Lilliana,1,w
Krzysztof,1,m
Lilly-Charlotte,1,w
Kuzey,1,m
Lilly-Sophie,1,w
Kyle,1,m
Lilo,1,w
Kyriakos,1,m
Lilou,1,w
Lais,1,m
Lilyan,1,w
Laith,1,m
Limona,1,w
Laris,1,m
Lina-Marie,1,w
Laryea,1,m
Lindhardt,1,w
Laurens,1,m
Linn,1,w
Lauris,1,m
Liora,1,w
Lautaro,1,m
Lisbeth,1,w
Lawin,1,m
Liva,1,w
Leart,1,m
Liza,1,w
Leeroy,1,m
Lo,1,w
Lenardo,1,m
Lona,1,w
Lenno,1,m
Long,1,w
Lenos,1,m
Lorca,1,w
Lenus,1,m
Loreen,1,w
Leonardt,1,m
Lorelei,1,w
Leone,1,m
Loren,1,w
Leonel,1,m
Lorna,1,w
Leonhardt,1,m
Lorren,1,w
Leonor,1,m
Lorya,1,w
Leontino,1,m
Louiza,1,w
Levan,1,m
Lourdes,1,w
Levian,1,m
Lovelyn,1,w
Lew,1,m
Lu,1,w
Lewe,1,m
Lucie,1,w
Lewend,1,m
Luiza,1,w
Lewin,1,m
Luiziana,1,w
Leyland,1,m
Lujane,1,w
León,1,m
Luna-Danielle,1,w
León-Yannik,1,m
Luna-Melody,1,w
Liano,1,m
Lune,1,w
Lieven,1,m
Lusjana,1,w
Lino,1,m
Ly,1,w
Lio,1,m
Lykka,1,w
Livian,1,m
Lyna,1,w
Liviu-Florin,1,m
Léa,1,w
Liyam,1,m
Madeleine,1,w
Lizandro,1,m
Madleen,1,w
Ljupce,1,m
Maha,1,w
Lloyd,1,m
Mahmonir,1,w
Loc,1,m
Maika,1,w
Logan,1,m
Maila,1,w
Lohan,1,m
Maimana,1,w
Lois,1,m
Malea,1,w
Loren,1,m
Malika,1,w
Lorenz,1,m
Malina,1,w
Lorin,1,m
Malina-Sophie,1,w
Loris,1,m
Malinka,1,w
Lothar,1,m
Maliyah,1,w
Luan,1,m
Malou,1,w
Lubin,1,m
Malu,1,w
Luciano,1,m
Malve,1,w
Ludwig,1,m
Manal,1,w
Lui,1,m
Mandy,1,w
Luik,1,m
Manja,1,w
Luk,1,m
Manjula,1,w
Lunik,1,m
Manola,1,w
Luuk,1,m
Mara-Lucia,1,w
Lâm,1,m
Marcovna,1,w
Léon,1,m
Mares,1,w
Léopold,1,m
Margarethe,1,w
Lý,1,m
Margarita,1,w
Mac,1,m
Margo,1,w
Maev,1,m
Marianna,1,w
Magomedovič,1,m
Marie-Louise,1,w
Mahmoud,1,m
Mariele,1,w
Maik,1,m
Marika,1,w
Maiko,1,m
Marilou,1,w
Majki,1,m
Marion,1,w
Maksim,1,m
Marit,1,w
Maksymovič,1,m
Marita,1,w
Malcom,1,m
Mariyeva,1,w
Malo,1,m
Marleen,1,w
Manfred,1,m
Marni,1,w
Mani,1,m
Martina,1,w
Manu,1,m
Maryam,1,w
Marcello,1,m
María,1,w
Marchelino,1,m
Mathea,1,w
Marcos,1,m
Mathissa,1,w
Marek,1,m
Matilda-Marie,1,w
Mariano,1,m
Matilde,1,w
Marie,1,m
Maxi,1,w
Marko,1,m
Maxima,1,w
Markus,1,m
Maxine,1,w
Marlo,1,m
Mayra,1,w
Marlon,1,m
Medina,1,w
Marquardt,1,m
Medine,1,w
Marshall,1,m
Meggy,1,w
Marti,1,m
Mehlikâ,1,w
Marty,1,m
Meleknur,1,w
Marwin,1,m
Melia,1,w
Masen,1,m
Melika,1,w
Matheo,1,m
Melike,1,w
Matheson,1,m
Melina-Amy,1,w
Mathias,1,m
Melinay,1,w
Matias,1,m
Melinda,1,w
Matou,1,m
Melvida,1,w
Mattheo,1,m
Mely,1,w
Matthew,1,m
Meradije,1,w
Max-Finnley,1,m
Merve,1,w
Maximiliano,1,m
Meryemce,1,w
Maximus,1,m
Metin,1,w
Mayar,1,m
Meyra,1,w
Maylon,1,m
Mia-Lauryn,1,w
Mecnun,1,m
Mia-Lysann,1,w
Mehdi,1,m
Mia-Marie,1,w
Mehmedov,1,m
Mia-Pauline,1,w
Mehmet-Akif,1,m
Mica,1,w
Meiko,1,m
Micah,1,w
Melih,1,m
Michaela,1,w
Melik,1,m
Mie,1,w
Memphis,1,m
Mihrimah,1,w
Meo,1,m
Milaine,1,w
Meriç,1,m
Milena,1,w
Merlin,1,m
Miley,1,w
Mete,1,m
Milijana,1,w
Metehan,1,m
Milly,1,w
Mica,1,m
Milou,1,w
Michail,1,m
Mimi,1,w
Michał,1,m
Mimmi,1,w
Michél,1,m
Mimoko,1,w
Micky,1,m
Minu,1,w
Miguel,1,m
Mirabella,1,w
Mikael,1,m
Miradije,1,w
Mike,1,m
Miral,1,w
Mikhael,1,m
Miranda,1,w
Mikko,1,m
Mirela,1,w
Milat,1,m
Mirella,1,w
Milenov,1,m
Miria,1,w
Milos,1,m
Miriam,1,w
Miraç,1,m
Mlak,1,w
Mirhad,1,m
Monique,1,w
Miro,1,m
Murat,1,w
Miron,1,m
Mursal,1,w
Mirza,1,m
Mustafova,1,w
Mischka,1,m
Mộc,1,w
Mitch,1,m
Nada,1,w
Moaad,1,m
Nadeschda,1,w
Mohamed,1,m
Nadezhda,1,w
Mola,1,m
Nadia,1,w
Momo,1,m
Nadège,1,w
Morice,1,m
Naheli,1,w
Morissey,1,m
Naiara,1,w
Moses,1,m
Nalani,1,w
Muhammet,1,m
Naledi,1,w
Mulder,1,m
Nana-Yaa,1,w
Musa,1,m
Nanouk,1,w
Mussa,1,m
Nao,1,w
Máliqe,1,m
Naomi,1,w
Máté-Luca,1,m
Nare,1,w
Mílan,1,m
Nas,1,w
Mîrav,1,m
Natasia,1,w
Nader,1,m
Nathalie,1,w
Nael,1,m
Natrada,1,w
Nahveed,1,m
Nayla,1,w
Nam-Anh,1,m
Ndombasi,1,w
Nanlop,1,m
Necla-Nur,1,w
Nareg,1,m
Nedzhibeva,1,w
Nathan,1,m
Nefise,1,w
Nathanael,1,m
Nela,1,w
Nathaniel,1,m
Nelda,1,w
Naydenov,1,m
Nele-Felicia,1,w
Nedal,1,m
Nele-Soraya,1,w
Nedzad,1,m
Nell,1,w
Negu,1,m
Nellie,1,w
Nevio,1,m
Nemoé,1,w
Niayzi,1,m
Nevis,1,w
Nicanor,1,m
Neyir,1,w
Niccolò,1,m
Ngan,1,w
Nick,1,m
Ngozi,1,w
Nicolás,1,m
Nguyen,1,w
Nigle-Joel,1,m
Ngân,1,w
Nihat,1,m
Nhã,1,w
Nii,1,m
Như,1,w
Niko,1,m
Nicola,1,w
Nikola,1,m
Nieves,1,w
Nikolas-Philippos,1,m
Nika,1,w
Nils-Taylor,1,m
Nila,1,w
Nino,1,m
Nimue,1,w
Noah-Joel,1,m
Nini,1,w
Noe,1,m
Ninon,1,w
Nolan,1,m
Noa-Sophie,1,w
Noraiz,1,m
Nola,1,w
Norbert,1,m
Nomundari,1,w
Norton,1,m
Nona,1,w
Noyan,1,m
Noorfatima,1,w
Nuno,1,m
Norma,1,w
Nureddin,1,m
Nouhad,1,w
Nyasha,1,m
Noura,1,w
Nâzra,1,m
Nurgül,1,w
Odvar,1,m
Nyota,1,w
Odysseas,1,m
Odigil,1,w
Olaf,1,m
Ofelia,1,w
Olavi,1,m
Olive,1,w
Oleksandrovich,1,m
Omosefe,1,w
Ollin-Tenosch,1,m
Onome,1,w
Olmo,1,m
Ophelia,1,w
Oluwafemi,1,m
Orchidea,1,w
Onno,1,m
Orhan,1,w
Orestis,1,m
Orlando,1,w
Orlando,1,m
Otília,1,w
Osadebamwen,1,m
Oxana,1,w
Oskar-Paul,1,m
Pamina,1,w
Osman,1,m
Paolina,1,w
Osée-Peter,1,m
Patricia,1,w
Otofumi,1,m
Peaches,1,w
Ottmar,1,m
Peggy,1,w
Oğuz,1,m
Peke,1,w
Paolo,1,m
Pep,1,w
Pasxalis,1,m
Pepa,1,w
Paul-Baker,1,m
Pepita,1,w
Paul-David,1,m
Peppa,1,w
Paul-Henri,1,m
Pervin,1,w
Paul-Jerome,1,m
Phan,1,w
Paul-Luca,1,m
Phibie,1,w
Pax,1,m
Philine,1,w
Pedro,1,m
Philippa,1,w
Peer,1,m
Phoebe,1,w
Peio,1,m
Pilar,1,w
Peko,1,m
Pina,1,w
Perseus,1,m
Piroska,1,w
Petar,1,m
Polina,1,w
Peterson,1,m
Polly,1,w
Philian,1,m
Prabhleen,1,w
Philippe,1,m
Qizi,1,w
Philo,1,m
Quyen,1,w
Phong,1,m
Raghad,1,w
Phu,1,m
Raha-Marie,1,w
Phúc,1,m
Rahaf,1,w
Piero,1,m
Rahel,1,w
Pietro,1,m
Raia,1,w
Pino,1,m
Rain,1,w
Polat,1,m
Raja,1,w
Pollux,1,m
Ralia,1,w
Prasanna,1,m
Ramziyyeh,1,w
Pratama,1,m
Rane,1,w
Quan,1,m
Rani,1,w
Quirin,1,m
Raphinia,1,w
Quân,1,m
Rawiya,1,w
Raban,1,m
Rebekka,1,w
Rabbi-Naphtali,1,m
Regina,1,w
Radwan,1,m
Reham,1,w
Rafaelo,1,m
Reja,1,w
Rahoma,1,m
Renate,1,w
Raimond,1,m
Renee,1,w
Raj,1,m
Rike,1,w
Rajan,1,m
Rilana,1,w
Ramon,1,m
Ritan,1,w
Randy,1,m
Robin,1,w
Raúl,1,m
Rodaina,1,w
Recep,1,m
Roisin,1,w
Reinhard,1,m
Romi,1,w
Remi,1,m
Ronya,1,w
Reşit,1,m
Roser,1,w
Riccardo,1,m
Rosina,1,w
Ricky,1,m
Rosmarie,1,w
Rico,1,m
Rougui,1,w
Rida,1,m
Rowan,1,w
Rıdvan,1,m
Roxana,1,w
Rik,1,m
Roxande,1,w
Riku,1,m
Royale,1,w
Ringo,1,m
Roza,1,w
Rio,1,m
Rozeva,1,w
Rivoli,1,m
Rubis,1,w
Rizgar,1,m
Ruby-Mae,1,w
Robby,1,m
Rumenova,1,w
Roberto,1,m
Rumeysa,1,w
Rocco,1,m
Ruslana,1,w
Rodi,1,m
Róisín,1,w
Rohan,1,m
Rüya,1,w
Roland,1,m
Sabet,1,w
Romano,1,m
Sabinah,1,w
Ron,1,m
Sabrin,1,w
Ronny,1,m
Safa,1,w
Roshaun,1,m
Saime,1,w
Rouven,1,m
Sainabou,1,w
Rubin,1,m
Salome,1,w
Rudi,1,m
Salomé,1,w
Rudolf,1,m
Samantha,1,w
Rufus,1,m
Sandi,1,w
Saam,1,m
Sandy,1,w
Sacha,1,m
Sani,1,w
Sadikur,1,m
Sanjana,1,w
Sadmir,1,m
Saphira,1,w
Saleem,1,m
Sarafina,1,w
Sali,1,m
Sarah-Ann,1,w
Samed,1,m
Sare,1,w
Samir,1,m
Sasha-Maxim,1,w
Samu,1,m
Saskia,1,w
Sanghi,1,m
Satu,1,w
Sangolana,1,m
Sena,1,w
Saniel,1,m
Sergeevna,1,w
Santosh,1,m
Sergiivna,1,w
Saqip,1,m
Sevim,1,w
Sascha,1,m
Shahad,1,w
Sefa,1,m
Shaima,1,w
Selahaddin,1,m
Shammah-Peace,1,w
Selahattin,1,m
Shannon,1,w
Selenio,1,m
Shanti,1,w
Selmir,1,m
Shiri,1,w
Semih,1,m
Sia,1,w
Seng,1,m
Sılanur,1,w
Sevdalinov,1,m
Silia,1,w
Seyfi,1,m
Silva,1,w
Seyfulah,1,m
Silvia,1,w
Seyyid,1,m
Simge,1,w
Seyyit-Lucas,1,m
Sinem,1,w
Shannon,1,m
Sinje,1,w
Shawn,1,m
Siona,1,w
Shawn-Kenny,1,m
Siri,1,w
Shino,1,m
Skata,1,w
Siad,1,m
Skyla,1,w
Siddhartha,1,m
Skylla,1,w
Siem,1,m
Sladjana,1,w
Silas,1,m
Smilla,1,w
Silvano,1,m
Soi,1,w
Simeon,1,m
Sol,1,w
Simón,1,m
Solange,1,w
Sinclair,1,m
Sommer,1,w
Singh,1,m
Sonea,1,w
Siniša,1,m
Sophy,1,w
Sıraç,1,m
Soraja,1,w
Skye,1,m
Stefanie,1,w
Skylor,1,m
Steffanie,1,w
Slaviša,1,m
Stéphanie,1,w
Sofian,1,m
Sue,1,w
Sofiyan,1,m
Sultana,1,w
Sofu,1,m
Sumaja,1,w
Son,1,m
Sumajja,1,w
Soner,1,m
Summer,1,w
Sonny,1,m
Suna,1,w
Soykan,1,m
Sunja,1,w
Spencer,1,m
Sunny,1,w
Sprencer,1,m
Sure,1,w
Stanimirov,1,m
Suri,1,w
Stanisław,1,m
Susann,1,w
Stepan,1,m
Suvi,1,w
Stephan,1,m
Suzan,1,w
Storm,1,m
Svenja,1,w
Sultan,1,m
Swantje,1,w
Suppakrit,1,m
São,1,w
Syam,1,m
Taisija,1,w
Szymon,1,m
Tale,1,w
Süheyl,1,m
Tam,1,w
Süleyman,1,m
Tanem,1,w
Taha,1,m
Tasnim,1,w
Taikan,1,m
Teresa,1,w
Talha,1,m
Tess,1,w
Tamer,1,m
Tessa,1,w
Tammo,1,m
Thanh,1,w
Tarek,1,m
Therese,1,w
Tarik,1,m
Thu,1,w
Taro,1,m
Thuy,1,w
Tarvis,1,m
Thái,1,w
Tassilo,1,m
Thư,1,w
Tatsumi,1,m
Thảo,1,w
Tayler,1,m
Tia,1,w
Taylor-Dwayne,1,m
Tiana-Jolie,1,w
Temidayo,1,m
Tien,1,w
Teoman,1,m
Tjorven,1,w
Thai,1,m
Tosca,1,w
Thanadech,1,m
Trieu,1,w
Thiago,1,m
Truc,1,w
Thilo,1,m
Trần,1,w
Thiên,1,m
Tyra,1,w
Thoas,1,m
Tố,1,w
Tiago,1,m
Ulrike,1,w
Ties,1,m
Uma,1,w
Til,1,m
Uta,1,w
Tillmann,1,m
Ute,1,w
Tilman,1,m
Uyên,1,w
Tilmann,1,m
Vehyen,1,w
Timur,1,m
Veselinova,1,w
Timuçin,1,m
Viktorija,1,w
Titan,1,m
Viola,1,w
Titus,1,m
Violet,1,w
Tjorben,1,m
Violetta,1,w
Toby,1,m
Virginie,1,w
Todorov,1,m
Virina,1,w
Tola,1,m
Vivi,1,w
Tomas,1,m
Viviana,1,w
Tomek,1,m
Viya,1,w
Tomte,1,m
Wally,1,w
Topanga,1,m
Wanyama,1,w
Toprak,1,m
Waranya,1,w
Trác,1,m
Wendy,1,w
Tunahan,1,m
Wilma,1,w
Tunay,1,m
Winfriede,1,w
Tuong,1,m
Winja,1,w
Turan,1,m
Winkar,1,w
Turancan,1,m
Xiao,1,w
Tuân,1,m
Yagmur,1,w
Ty,1,m
Yara,1,w
Tyrael,1,m
Yasemin,1,w
Tyren,1,m
Yasmin,1,w
Tyron,1,m
Yasmine,1,w
Tài,1,m
Yeter,1,w
Tín,1,m
Ylvie,1,w
Ufuk,1,m
Yonca,1,w
Uhud,1,m
Yuki,1,w
Umut,1,m
Yum,1,w
Vafaeian,1,m
Yuma,1,w
Valerio,1,m
Yuna,1,w
Valmano,1,m
Yuseinova,1,w
Valon,1,m
Yve,1,w
Vanya,1,m
Yvette,1,w
Vardhan,1,m
Yüsra,1,w
Vasili,1,m
Yến,1,w
Vazgeni,1,m
Zahide,1,w
Veit,1,m
Zazou,1,w
Veli,1,m
Zeliha,1,w
Velizar,1,m
Zemira,1,w
Vernaza,1,m
Zena,1,w
Vico,1,m
Zeren,1,w
Ville,1,m
Zina-Aicha,1,w
Vincenzo,1,m
Zita,1,w
Vinh,1,m
Ziva,1,w
Vir,1,m
Zlatija,1,w
Vito,1,m
Zobiya,1,w
Vitus,1,m
Zoubeida,1,w
Vũ,1,m
Zoéquarius,1,w
Walat,1,m
Zülâl,1,w
Waldemar,1,m
Zümra,1,w
Walid,1,m
Élodie,1,w
Wardkes,1,m
Éloise,1,w
Warren,1,m
Émile,1,w
Wendelin,1,m
Özge,1,w
Wenzel,1,m
Ý,1,w
Wiljoph,1,m
Đan,1,w
Willy,1,m
Şirin,1,w
Wilm,1,m
Wolfgang,1,m
Xavi,1,m
Xavier,1,m
Xuan,1,m
Yahya,1,m
Yahya-Eren,1,m
Yali,1,m
Yanik,1,m
Yanis,1,m
Yanni,1,m
Yaqub,1,m
Yasha,1,m
Yasser,1,m
Yassien,1,m
Yassine,1,m
Yassïn,1,m
Yazan,1,m
Yehia,1,m
Yehoshua,1,m
Yemen,1,m
Yen,1,m
Yian,1,m
Yiğit,1,m
Yoan,1,m
Yoann,1,m
Yoshi,1,m
Youssef,1,m
Yunes,1,m
Yusufov,1,m
Yuvraj,1,m
Zacharias,1,m
Zakaria,1,m
Zarif,1,m
Zeus,1,m
Zuber,1,m
Zulfikar,1,m
Zvi,1,m
Álvaro,1,m
Áron,1,m
Çağan,1,m
Çağatay,1,m
Çinar,1,m
Émile,1,m
Özcan,1,m
Ümit,1,m
Ümüt,1,m
Đuc,1,m
Đưc,1,m
Şaban-Mert,1,m
Şemsi,1,m
,,
